Id,VN30F1M,len,datetime,open,high,low,close,volume,openinterest,CompareOHLCV,len,datetime,datetime,Value,len,value,Broker,len,cash,value,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
930,VN30F1M,930,2020-05-21 07:30:00,809.5,864.0,809.5,864.0,3843.0,,CompareOHLCV,930,,737566.3125,Value,930,2055628000.0,Broker,930,2055628000.0,2055628000.0,Trades - Net Profit/Loss,930,,,DrawDown,930,0.6512483912110707,12.665865767793717,BuySell,930,,
931,VN30F1M,931,2020-05-22 02:00:00,789.2,790.8,787.6,790.5,15094.0,,CompareOHLCV,931,,737567.0833333334,Value,931,2055628000.0,Broker,931,2055628000.0,2055628000.0,Trades - Net Profit/Loss,931,,,DrawDown,931,0.6512483912110707,12.665865767793717,BuySell,931,,
932,VN30F1M,932,2020-05-22 02:30:00,790.3,792.0,789.1,791.0,14044.0,,CompareOHLCV,932,,737567.1041666666,Value,932,2055628000.0,Broker,932,2055628000.0,2055628000.0,Trades - Net Profit/Loss,932,,,DrawDown,932,0.6512483912110707,12.665865767793717,BuySell,932,,
933,VN30F1M,933,2020-05-22 03:00:00,791.0,793.5,790.6,792.8,14986.0,,CompareOHLCV,933,,737567.125,Value,933,2055628000.0,Broker,933,2055628000.0,2055628000.0,Trades - Net Profit/Loss,933,,,DrawDown,933,0.6512483912110707,12.665865767793717,BuySell,933,,
934,VN30F1M,934,2020-05-22 03:30:00,793.0,794.4,788.3,789.8,22397.0,,CompareOHLCV,934,,737567.1458333334,Value,934,2055628000.0,Broker,934,2055628000.0,2055628000.0,Trades - Net Profit/Loss,934,,,DrawDown,934,0.6512483912110707,12.665865767793717,BuySell,934,,
935,VN30F1M,935,2020-05-22 04:00:00,789.8,790.5,780.3,781.3,25213.0,,CompareOHLCV,935,,737567.1666666666,Value,935,2055628000.0,Broker,935,2055628000.0,2055628000.0,Trades - Net Profit/Loss,935,,,DrawDown,935,0.6512483912110707,12.665865767793717,BuySell,935,,
936,VN30F1M,936,2020-05-22 04:30:00,781.3,781.3,781.3,781.3,152.0,,CompareOHLCV,936,,737567.1875,Value,936,2055628000.0,Broker,936,2055628000.0,2055628000.0,Trades - Net Profit/Loss,936,,,DrawDown,936,0.6512483912110707,12.665865767793717,BuySell,936,,
937,VN30F1M,937,2020-05-22 06:00:00,781.0,782.3,776.0,778.9,28451.0,,CompareOHLCV,937,,737567.25,Value,937,2055628000.0,Broker,937,2055628000.0,2055628000.0,Trades - Net Profit/Loss,937,,,DrawDown,937,0.6512483912110707,12.665865767793717,BuySell,937,,
938,VN30F1M,938,2020-05-22 06:30:00,778.4,782.9,773.6,774.3,30432.0,,CompareOHLCV,938,,737567.2708333334,Value,938,2055628000.0,Broker,938,2055628000.0,2055628000.0,Trades - Net Profit/Loss,938,,,DrawDown,938,0.6512483912110707,12.665865767793717,BuySell,938,,
939,VN30F1M,939,2020-05-22 07:00:00,773.5,776.0,769.5,769.6,28149.0,,CompareOHLCV,939,,737567.2916666666,Value,939,2082332999.9999998,Broker,939,2082332929.9999998,2082332999.9999998,Trades - Net Profit/Loss,939,,,DrawDown,939,0.0,12.665865767793717,BuySell,939,,773.5
940,VN30F1M,940,2020-05-22 07:30:00,769.6,769.6,768.9,768.9,4479.0,,CompareOHLCV,940,,737567.3125,Value,940,2087233000.0,Broker,940,2087232930.0,2087233000.0,Trades - Net Profit/Loss,940,,,DrawDown,940,0.0,12.665865767793717,BuySell,940,,
941,VN30F1M,941,2020-05-25 02:00:00,776.5,781.4,776.3,778.9,20849.0,,CompareOHLCV,941,,737570.0833333334,Value,941,2016582000.0,Broker,941,2016581930.0,2016582000.0,Trades - Net Profit/Loss,941,,,DrawDown,941,3.3849119863474755,12.665865767793717,BuySell,941,,
942,VN30F1M,942,2020-05-25 02:30:00,778.8,778.9,773.1,777.0,26705.0,,CompareOHLCV,942,,737570.1041666666,Value,942,2016687000.0000002,Broker,942,2016687000.0000002,2016687000.0000002,Trades - Net Profit/Loss,942,,-38940999.99999968,DrawDown,942,3.3798814027949806,12.665865767793717,BuySell,942,778.8,
943,VN30F1M,943,2020-05-25 03:00:00,776.9,780.5,775.3,780.5,20025.0,,CompareOHLCV,943,,737570.125,Value,943,2016687000.0000002,Broker,943,2016687000.0000002,2016687000.0000002,Trades - Net Profit/Loss,943,,,DrawDown,943,3.3798814027949806,12.665865767793717,BuySell,943,,
944,VN30F1M,944,2020-05-25 03:30:00,780.5,780.8,775.6,779.0,20903.0,,CompareOHLCV,944,,737570.1458333334,Value,944,2016687000.0000002,Broker,944,2016687000.0000002,2016687000.0000002,Trades - Net Profit/Loss,944,,,DrawDown,944,3.3798814027949806,12.665865767793717,BuySell,944,,
945,VN30F1M,945,2020-05-25 04:00:00,779.0,785.5,777.7,785.0,24931.0,,CompareOHLCV,945,,737570.1666666666,Value,945,2016687000.0000002,Broker,945,2016687000.0000002,2016687000.0000002,Trades - Net Profit/Loss,945,,,DrawDown,945,3.3798814027949806,12.665865767793717,BuySell,945,,
946,VN30F1M,946,2020-05-25 04:30:00,784.6,784.6,784.6,784.6,68.0,,CompareOHLCV,946,,737570.1875,Value,946,2016687000.0000002,Broker,946,2016687000.0000002,2016687000.0000002,Trades - Net Profit/Loss,946,,,DrawDown,946,3.3798814027949806,12.665865767793717,BuySell,946,,
947,VN30F1M,947,2020-05-25 06:00:00,785.5,785.6,779.3,780.0,27207.0,,CompareOHLCV,947,,737570.25,Value,947,2016687000.0000002,Broker,947,2016687000.0000002,2016687000.0000002,Trades - Net Profit/Loss,947,,,DrawDown,947,3.3798814027949806,12.665865767793717,BuySell,947,,
948,VN30F1M,948,2020-05-25 06:30:00,779.8,782.7,775.6,777.0,25261.0,,CompareOHLCV,948,,737570.2708333334,Value,948,2016687000.0000002,Broker,948,2016687000.0000002,2016687000.0000002,Trades - Net Profit/Loss,948,,,DrawDown,948,3.3798814027949806,12.665865767793717,BuySell,948,,
949,VN30F1M,949,2020-05-25 07:00:00,777.1,781.5,774.6,781.5,27382.0,,CompareOHLCV,949,,737570.2916666666,Value,949,1985292000.0000005,Broker,949,1985291930.0000005,1985292000.0000005,Trades - Net Profit/Loss,949,,,DrawDown,949,4.884025884987422,12.665865767793717,BuySell,949,,777.1
950,VN30F1M,950,2020-05-25 07:30:00,781.0,782.0,781.0,782.0,3524.0,,CompareOHLCV,950,,737570.3125,Value,950,1981792000.0000005,Broker,950,1981791930.0000005,1981792000.0000005,Trades - Net Profit/Loss,950,,,DrawDown,950,5.0517120034035266,12.665865767793717,BuySell,950,,
